year,tif_number,property_tax,total_expenditures,transfers_in,transfers_out,surplus,end_balance,flags
1997,3,98106,3227,0,0,0,159205,
1997,8,150646,13754,0,0,0,923177,
1997,9,154712,9776,0,0,0,359738,
1997,15,686342,764236,0,0,0,3434916,
1997,19,94562,3110,0,0,0,145185,
1997,25,166670,5482,0,0,0,367042,
1997,29,173246,65333,0,0,0,574229,
1997,32,935440,1097160,0,0,0,2319618,
1997,40,141659,73758,0,0,0,491611,
1997,42,685212,601305,0,-5500000,0,1613725,
1997,47,259326,407722,0,0,0,285794,
1998,3,139057,10537,0,0,0,295398,
1998,4,16984,577,0,0,0,19921,
1998,16,1107102,945602,0,0,0,145,
1998,19,107324,9498,0,0,0,250018,
1998,25,161094,5453,0,0,0,539643,
1998,31,5407984,5710461,0,0,0,11744265,
1998,41,329862,315068,0,0,0,3450144,
1998,46,748,25,0,0,0,1655,
1999,1,38932,112631,0,0,0,232179,
1999,2,102225,96906,0,0,0,101493,
1999,15,1535686,756548,0,0,0,6135418,
1999,16,936753,1372338,0,0,0,1669346,
1999,19,126058,9246,0,0,0,374574,
1999,22,530008,15478,0,0,0,1976821,
1999,25,244086,11550,0,0,0,788428,
1999,32,2711387,138237,0,0,0,6446617,
1999,36,1793064,744383,0,0,0,5375543,
1999,39,617325,350182,0,0,0,638321,
1999,40,469899,63834,0,0,0,1051214,
1999,41,317293,305132,0,0,0,3920603,
1999,43,568188,41462,0,0,0,2447744,
1999,45,1820165,5823103,0,0,0,16968152,
2000,1,545489,82470,0,0,0,719052,
2000,2,98337,103293,0,0,0,899600,
2000,3,216096,9859,0,0,0,668791,
2000,4,172300,171595,0,0,0,139217,
2000,5,290174,11830,0,0,0,569664,
2000,6,188549,9130,0,0,0,390616,
2000,11,135681,6982,0,0,0,249956,
2000,17,271773,525878,0,0,0,281601,
2000,22,501267,16270,0,0,0,2562853,
2000,24,151951,8670,0,0,0,286280,
2000,25,227588,384556,0,0,0,646538,
2000,26,464636,16933,0,0,0,3060242,
2000,27,344337,385775,0,0,0,774042,
2000,28,863604,760156,0,0,0,2112940,
2000,33,1225572,32880,0,0,0,1977067,
2000,34,692502,19703,0,0,0,1116984,
2000,36,1730511,715523,0,0,0,6632150,
2000,38,376040,14997,0,0,0,497920,
2000,42,826227,544878,0,0,0,2082485,
2000,45,1807287,1876843,0,0,0,17543061,
2000,46,75893,3297,0,0,0,180286,
2000,52,4192564,1202765,0,0,0,5870708,
2000,53,1029211,87597,0,0,0,1562628,
2000,54,468531,14129,0,0,0,753714,
2000,55,79460,2862,0,0,0,145072,
2000,63,527746,11541,0,0,0,526452,
2000,66,219516,9665,0,0,0,319831,
2001,1,502261,84149,0,0,0,1170976,
2001,2,122841,105679,0,0,0,119085,
2001,3,120126,7138,0,0,0,798407,
2001,4,106134,145247,0,0,0,102130,
2001,5,141805,7213,0,0,0,719209,
2001,6,168736,8030,0,0,0,563745,
2001,11,158326,8177,0,0,0,406868,
2001,15,1494443,1272466,0,0,0,10304591,
2001,19,133074,7501,0,0,0,648242,
2001,21,273325,1079362,0,0,0,1583272,
2001,22,607380,1971802,0,0,0,1291156,
2001,24,499418,14312,0,0,0,781665,
2001,25,96545,6617,0,0,0,752582,
2001,26,438955,1114271,0,0,0,2505541,
2001,27,582790,442125,0,0,0,947070,
2001,28,985846,1169871,0,0,0,2004105,
2001,29,206071,14601,0,0,0,885570,
2001,33,1571668,31720,0,0,0,3581348,
2001,35,44046,4739,0,0,0,134873,
2001,36,1593880,769948,0,0,0,7676371,
2001,38,325973,584903,0,0,0,249342,
2001,40,331629,11345,0,0,0,2005246,
2001,42,785498,614972,0,0,0,2323335,
2001,43,901863,116945,0,0,0,3076311,
2001,46,89096,6480,0,0,0,237689,
2001,47,110461,7439,0,0,0,1882026,
2001,48,577731,516037,0,0,0,929752,
2001,52,5337009,3475919,0,0,0,7886026,
2001,53,2726489,729110,0,0,0,3607221,
2001,55,243159,9127,0,0,0,384127,
2001,56,210645,9164,0,0,0,593810,
2001,58,415057,228394,0,0,0,1725222,
2001,59,460594,13318,0,0,0,617892,
2001,63,1113613,92708,0,0,0,1568397,
2001,64,1355606,27474,0,0,0,1453597,
2001,66,96036,7082,0,0,0,418251,
2001,71,398523,11278,0,0,0,567032,
2001,74,145547,3613,0,0,0,201306,
2001,75,47230,5694,0,0,0,150214,
2001,77,912483,21233,0,0,0,1039998,
2002,1,726629,564438,0,0,0,1349576,
2002,2,125450,175762,0,0,0,69800,
2002,4,155186,109516,0,0,0,149031,
2002,6,162561,549294,0,0,0,182468,
2002,7,39647,5455,0,0,0,338716,
2002,8,1362818,1287917,0,0,0,1239791,
2002,9,364828,348907,0,0,0,1713325,
2002,11,405616,11306,0,0,0,805864,
2002,17,237227,8699,0,0,0,338027,
2002,21,506486,14355,0,0,0,2108958,
2002,22,566869,14679,0,0,0,1887246,
2002,23,1901688,1913040,0,0,0,4106890,
2002,24,666397,21210,0,0,0,1436787,
2002,28,948068,1017672,0,0,0,1957720,
2002,29,209748,9064,0,0,0,1102216,
2002,30,4849275,4502615,0,0,0,15857113,
2002,31,5982169,34917402,0,0,0,42591426,
2002,32,4779845,1496229,0,0,0,21615797,
2002,33,1453035,379543,0,0,0,4692262,
2002,34,2233134,44191,0,0,0,4457711,
2002,35,94430,6094,0,0,0,224799,
2002,37,4028771,1359778,0,0,0,9751054,
2002,38,464306,576675,0,0,0,139401,
2002,40,523314,178913,0,0,0,2384296,
2002,41,289272,307510,0,0,0,2745903,
2002,43,856366,117592,0,0,0,3846567,
2002,44,1861170,2086177,0,0,0,8415508,
2002,45,1515591,3162641,0,0,0,13640164,
2002,46,139203,6083,0,0,0,373305,
2002,47,280139,10251,0,0,0,2391627,
2002,48,1090084,1357294,0,0,0,669341,
2002,49,342777,10541,0,0,0,584477,
2002,52,6730265,4394762,0,0,0,10300296,
2002,53,2838378,433341,0,0,0,36053057,
2002,54,875787,159992,0,0,0,3157552,
2002,55,450344,12016,0,0,0,827184,
2002,56,216163,87411,0,0,0,728419,
2002,57,105211,174310,0,0,0,750326,
2002,58,571085,413599,0,0,0,1898869,
2002,59,632384,16010,0,0,0,1242157,
2002,61,766686,518038,0,0,0,397250,
2002,63,1327302,195398,0,0,0,2718586,
2002,64,1493263,31841,0,0,0,2933212,
2002,65,529957,496494,0,0,0,99657,
2002,67,161749,4811,0,0,0,158174,
2002,69,526425,136938,0,0,0,1273743,
2002,71,328520,10399,0,0,0,891285,
2002,74,265469,189097,0,0,0,279772,
2002,75,113980,6386,0,0,0,259356,
2002,76,382145,139269,0,0,0,578446,
2002,77,1051385,139554,0,0,0,1964493,
2002,78,112220,2920,0,0,0,115812,
2002,82,179018,7492,0,0,0,337873,
2002,86,1397263,561579,0,0,0,4674405,
2002,88,1505575,1340394,0,0,0,1447456,
2002,89,174389,65030,0,0,0,216666,
2002,91,337355,69495,0,0,0,512178,
2002,92,920233,21138,0,0,0,1223332,
2002,96,181751,3960,0,0,0,236178,
2002,98,474741,9043,0,0,0,517377,
2002,101,622979,15517,0,0,0,1131953,
2003,1,998048,451631,0,0,0,1909140,
2003,2,139768,77003,0,0,0,132901,
2003,3,108604,7839,0,0,0,124341,
2003,4,193942,116119,0,0,0,227505,
2003,5,598855,14495,0,0,0,1324462,
2003,6,196048,8194,0,0,0,371424,
2003,7,97999,6964,0,0,0,433131,
2003,9,444756,351991,0,0,0,1814970,
2003,11,1064962,237456,0,0,0,1638609,
2003,15,1999824,4554100,0,0,0,26934773,
2003,17,241795,333662,0,0,0,247301,
2003,18,214644,311071,0,0,0,409103,
2003,19,125867,6136,0,0,0,109392,
2003,21,281481,8968,0,0,0,2402998,
2003,22,612314,14610,0,0,0,2512846,
2003,23,2316674,2029802,0,0,0,4414198,
2003,24,450520,13817,0,0,0,1881406,
2003,25,215041,7735,0,0,0,1002901,
2003,26,1531033,29417,0,0,0,5690884,
2003,27,418284,442279,0,0,0,694787,
2003,28,1090558,994256,0,0,0,2061216,
2003,29,199738,8467,0,0,0,1305309,
2003,30,6951091,4401160,0,0,0,18487688,
2003,31,23035533,11531763,0,0,0,54412396,
2003,33,2261010,127267,0,0,0,6852902,
2003,34,2964839,50854,0,0,0,7399399,
2003,35,737356,16532,0,0,0,947925,
2003,37,5715805,171875,0,0,0,15411927,
2003,39,1057171,810589,0,0,0,1069290,
2003,40,702445,170010,0,0,0,2942378,
2003,41,429395,304798,0,0,0,3215972,
2003,42,695691,570097,0,0,0,1229499,
2003,43,1348698,251307,0,0,0,4964993,
2003,46,97860,225753,0,0,0,246767,
2003,47,18759,5240,0,0,0,2586871,
2003,48,1861125,35606,0,0,0,2502175,
2003,49,417479,541475,0,0,0,462020,
2003,52,7920337,6787956,0,0,0,11485515,
2003,54,1288271,340084,0,0,0,4125757,
2003,55,636767,233662,0,0,0,1234748,
2003,56,334491,694020,0,0,0,371024,
2003,57,237569,229298,0,0,0,762204,
2003,58,987153,234333,0,0,0,2662420,
2003,59,11698494,198929,0,0,0,12763180,
2003,60,1293290,296286,0,0,0,2055957,
2003,61,1236730,25641,0,0,0,1612888,
2003,64,2205987,228842,0,0,0,4928077,
2003,65,790253,348041,0,0,0,544100,
2003,69,967072,406816,0,0,0,1841159,
2003,71,623243,524558,0,0,0,994456,
2003,73,187463,144055,0,0,0,343657,
2003,74,502245,433395,0,0,0,350245,
2003,76,887760,17199,0,0,0,1453188,
2003,77,1204707,46510,0,0,0,3134714,
2003,78,64136,5219,0,0,0,175482,
2003,79,22560,3242,0,0,0,114395,
2003,82,277384,8499,0,0,0,608848,
2003,83,345083,9880,0,0,0,2477460,
2003,84,1119860,172046,0,0,0,3106018,
2003,87,1666222,297739,0,0,0,3950524,
2003,89,348404,9536,0,0,0,657151,
2003,91,446575,69934,0,0,0,891998,
2003,92,1572599,24415,0,0,0,2779947,
2003,93,454498,207705,0,0,0,856669,
2003,94,2842894,421787,0,0,0,3208193,
2003,95,3216824,559963,0,0,0,8550969,
2003,96,256743,8270,0,0,0,486305,
2003,97,168496,5357,0,0,0,263016,
2003,98,724188,377998,0,0,0,867393,
2003,99,261432,8243,0,0,0,430352,
2003,100,525572,12914,0,0,0,657514,
