year,tif_number,property_tax,total_expenditures,transfers_in,transfers_out,surplus,end_balance,flags
1997,2,37572,2250,0,0,0,38379,Revenues after expenditure checksum failed
1997,22,431983,14203,0,0,0,937328,Revenues after expenditure checksum failed
1997,23,117224,3854,0,0,0,114359,Beginning of year balance has no value
1997,26,389121,13210,0,0,0,0,End of year balance has no value
1997,27,12301,405,0,0,0,11999,Beginning of year balance has no value
1997,41,356739,310371,0,0,0,0,End of year balance has no value
1998,11,47228,1599,0,0,0,46007,Beginning of year balance has no value
1998,14,36846876,58118750,0,-51500000,0,211891969,"field ""debt_plus_bond_refund"" had no value attached"
1998,20,240279,18076,0,-297093,0,254206,Total of other finances did not match anything. Guessing total by adding individual
1998,37,0,8850692,10500000,0,0,25806466,Total of other finances did not match anything. Guessing total by adding individual
1998,39,161643,5472,0,0,0,0,End of year balance has no value
1999,24,138562,3409,0,0,0,135661,Beginning of year balance has no value
1999,26,436980,11021,0,0,0,2468781,Revenues after expenditure checksum failed
1999,34,432157,11458,0,0,0,422407,Beginning of year balance has no value
1999,37,874198,28286052,2500000,0,0,1727258,Total of other finances did not match anything. Guessing total by adding individual
1999,38,132138,3235,0,0,0,129387,Beginning of year balance has no value
1999,52,2825205,73534,0,0,0,2762694,Beginning of year balance has no value
1999,54,290646,8089,0,0,0,283887,Beginning of year balance has no value
1999,66,105340,2377,0,0,0,103311,Beginning of year balance has no value
2000,8,150654,461250,0,0,0,0,End of year balance has no value
2000,9,377038,366777,0,0,0,0,End of year balance has no value
2000,13,231301,693104,245483,0,0,970316,Total of other finances did not match anything. Guessing total by adding individual
2000,19,129323,8238,0,0,0,0,End of year balance has no value
2000,21,455724,18350,0,0,0,0,End of year balance has no value
2000,32,3108482,1755945,0,0,0,20598070,Total of other finances did not match anything. Guessing total by adding individual
2000,41,277570,310140,0,0,0,0,End of year balance has no value
2000,43,800838,77105,0,0,0,0,End of year balance has no value
2000,47,126972,6920,0,0,0,1520536,"field ""sales_tax"" had no value attached"
2000,56,311539,161598,0,0,0,0,End of year balance has no value
2000,61,212173,654606,0,0,0,211478,Total of other finances did not match anything. Guessing total by adding individual
2000,64,119177,2610,0,0,0,117374,Beginning of year balance has no value
2000,65,0,350000,0,0,0,1817,Total of other finances did not match anything. Guessing total by adding individual
2000,75,107260,2154,0,0,0,105770,Beginning of year balance has no value
2000,77,143453,3127,0,0,0,141338,Beginning of year balance has no value
2001,8,477409,13926,0,0,0,0,End of year balance has no value
2001,9,357821,351042,0,0,0,0,End of year balance has no value
2001,13,417994,349461,260283,0,0,1333915,Total of other finances did not match anything. Guessing total by adding individual
2001,18,219601,310821,0,0,0,377929,"field ""other"" had no value attached"
2001,20,203822,9549,0,-260283,0,1164711,Total of other finances did not match anything. Guessing total by adding individual
2001,30,4147439,6063917,1000000,0,0,15331860,Total of other finances did not match anything. Guessing total by adding individual
2001,31,11685650,14286048,0,0,0,870715553,Summing everything checksum failed
2001,34,2145644,42744,0,-1000000,0,2239833,Total of other finances did not match anything. Guessing total by adding individual
2001,37,3361990,162010,0,0,0,0,End of year balance has no value
2001,39,1230963,987206,0,0,0,0,End of year balance has no value
2001,41,293993,307118,0,-2256419,0,2420919,Total of other finances did not match anything. Guessing total by adding individual
2001,45,1244544,4087674,0,0,0,0,End of year balance has no value
2001,49,252066,4302,0,0,0,248762,Beginning of year balance has no value
2001,54,791606,161535,0,0,0,2417532,Total of other finances did not match anything. Guessing total by adding individual
2001,60,291249,6126,0,0,0,286394,Beginning of year balance has no value
2001,73,239,100439,0,0,0,444984,Total of other finances did not match anything. Guessing total by adding individual
2001,76,336023,5782,0,0,0,331537,Beginning of year balance has no value
2001,82,167492,3917,0,0,0,164206,Beginning of year balance has no value
2001,84,251023,5440,0,0,0,246721,Beginning of year balance has no value
2001,87,722222,13813,0,0,0,712491,Beginning of year balance has no value
2001,88,1289777,928382,0,0,0,1271490,Total of other finances did not match anything. Guessing total by adding individual
2001,91,245608,5329,0,0,0,241210,Beginning of year balance has no value
2001,92,322502,5922,0,0,0,319088,Beginning of year balance has no value
2001,93,307849,6298,0,0,0,302992,Beginning of year balance has no value
2001,95,2231796,39113,0,0,0,2201893,Beginning of year balance has no value
2001,101,525847,10272,0,0,0,517431,Beginning of year balance has no value
2002,3,103477,6919,0,-880000,0,22214,Total of other finances did not match anything. Guessing total by adding individual
2002,14,53400347,101644265,0,-9593000,0,129779350,Total of other finances did not match anything. Guessing total by adding individual
2002,15,1272093,1180962,0,0,0,27440308,Total of other finances did not match anything. Guessing total by adding individual
2002,20,211941,9017,0,-277486,0,1226934,Total of other finances did not match anything. Guessing total by adding individual
2002,25,213927,8277,0,-175000,0,791023,Total of other finances did not match anything. Guessing total by adding individual
2002,26,1880470,297797,0,0,0,0,End of year balance has no value
2002,27,271444,434288,0,-87839,0,710366,Total of other finances did not match anything. Guessing total by adding individual
2002,36,2275977,788181,0,-7712540,0,1538857,Total of other finances did not match anything. Guessing total by adding individual
2002,39,762853,1232381,0,0,0,0,End of year balance has no value
2002,42,522950,585329,0,-1180350,0,1102379,Total of other finances did not match anything. Guessing total by adding individual
2002,60,778686,17905,0,0,0,0,End of year balance has no value
2002,73,80624,231118,0,0,0,0,End of year balance has no value
2002,81,221264,3883,0,0,0,217735,Beginning of year balance has no value
2002,85,510686,9107,0,0,0,502496,Beginning of year balance has no value
2002,87,1187931,43468,0,0,0,2567007,Total of other finances did not match anything. Guessing total by adding individual
