tif_name,tif_year,tif_number,property_tax_extraction,expenses,transfers_in,transfers_out,distribution,fund_balance_end
35th/Halsted,1997,1,1194,34231,1743618,0,0,1797517
41st/King,1997,2,37572,1250,0,0,0,38379
43rd/Damen,1997,3,98106,3227,0,0,0,159205
49th Street/St. Lawrence Avenue,1997,4,3330,107,0,0,0,3254
60th and Western,1997,5,0,0,0,0,0,0
72nd and Cicero,1997,6,0,0,0,0,0,0
73rd and Kedzie,1997,7,0,0,0,0,0,0
95th Street and Stony Island,1997,8,150646,13754,0,0,0,923177
95th and Western,1997,9,154712,9776,0,0,0,359738
126th and Torrence,1997,10,0,0,0,0,0,0
Addison Corridor North,1997,11,0,0,0,0,0,0
Bloomingdale/Laramie,1997,12,0,0,0,0,0,0
Bryn Mawr/Broadway,1997,13,37570,1114656,1359557,0,0,2119338
Central Loop,1997,14,31673240,34342267,0,-24258006,0,273196833
Chatham-Ridge,1997,15,686342,764236,0,0,0,3434916
Division-Hooker,1997,17,650,21,0,0,0,635
Eastman/North Branch,1997,19,94562,3110,0,0,0,145185
Edgewater,1997,20,256051,10612,0,1359557,0,826612
Fullteron/Normandy,1997,22,431983,14209,0,0,0,937328
Goose Island,1997,23,117224,3854,0,0,0,114359
Homan/Grand Trunk,1997,25,166670,5482,0,0,0,367042
Howard-Paulina,1997,26,389121,13210,0,0,0,1532437
Irving/Cicero,1997,27,12301,405,0,0,0,11999
Lincoln-Belmont-Ashland,1997,28,766169,579781,0,0,0,498415
Michigan/Cermak,1997,29,173246,65333,0,0,0,574229
Near North,1997,30,0,0,0,0,0,0
Near West,1997,32,935440,1097160,0,0,0,2319618
North-Cicero,1997,35,0,0,0,0,0,0
Read-Dunning,1997,36,957120,561386,0,0,0,3061033
River South,1997,37,271367,1319999,24258006,0,0,23209374
Roosevelt/Canal,1997,39,200664,6600,0,0,0,195929
Roosevelt-Homan,1997,40,141659,73758,0,0,0,491611
Ryan/Garfield,1997,41,356739,310371,0,0,0,2971755
Sanitary Drainage and Ship Canal,1997,42,685212,601305,0,-5500000,0,1613725
Stockyards Annex,1997,43,209863,15652,525000,0,0,727544
Stockyards Industrial Commercial,1997,44,2348743,14124305,0,1743617,0,6875457
Stockyards Southeast Quadrant Industrial,1997,45,1657797,12831118,0,525000,0,19849378
West Grand,1997,46,909,30,0,0,0,888
West Ridge/Peterson,1997,47,259326,407722,0,0,0,285794
35th/Halsted,1998,1,29682,1642690,0,0,0,257168
41st/King,1998,2,94884,39241,0,0,0,95177
43rd/Damen,1998,3,139057,10537,0,0,0,295398
49th Street/St. Lawrence Avenue,1998,4,16984,577,0,0,0,19921
60th and Western,1998,5,0,0,0,0,0,0
72nd and Cicero,1998,6,0,0,0,0,0,0
73rd and Kedzie,1998,7,0,0,0,0,0,0
95th Street and Stony Island,1998,8,161159,14900,0,0,0,1110738
95th and Western,1998,9,237671,1701970,0,0,0,1576237
126th and Torrence,1998,10,0,0,0,0,0,0
Addison Corridor North,1998,11,47228,1599,0,0,0,46007
Bloomingdale/Laramie,1998,12,0,0,0,0,0,0
Bryn Mawr/Broadway,1998,13,0,0,0,0,0,0
Central Loop,1998,14,36846876,58118750,0,1500000,0,21189969
Chatham-Ridge,1998,15,0,0,0,0,0,0
Chinatown Basin,1998,16,1107102,945602,0,0,0,145
Eastman/North Branch,1998,19,107324,9498,0,0,0,250018
Edgewater,1998,20,240279,18076,0,-297093,0,954206
Fullteron/Normandy,1998,22,0,0,0,0,0,0
Goose Island,1998,23,0,0,0,0,0,0
Homan-Arthington,1998,24,0,0,0,0,0,0
Homan/Grand Trunk,1998,25,161094,5453,0,0,0,539643
Howard-Paulina,1998,26,0,0,0,0,0,0
Irving/Cicero,1998,27,0,0,0,0,0,0
Lincoln-Belmont-Ashland,1998,28,0,0,0,0,0,0
Michigan/Cermak,1998,29,0,0,0,0,0,0
Near South,1998,31,5407984,5710461,0,0,0,11744265
North Branch (South),1998,34,0,0,0,0,0,0
North-Cicero,1998,35,0,0,0,0,0,0
Read-Dunning,1998,36,0,0,0,0,0,0
River South,1998,37,0,8850692,10500000,0,0,25806466
Roosevelt/Cicero,1998,38,0,0,0,0,0,0
Roosevelt/Canal,1998,39,161643,5472,0,0,0,361694
Ryan/Garfield,1998,41,329862,315068,0,0,0,3450144
Sanitary Drainage and Ship Canal,1998,42,0,0,0,0,0,0
Stockyards Annex,1998,43,0,0,0,0,0,0
Stockyards Industrial Commercial,1998,44,2357043,1424238,0,0,0,9647999
Stockyards Southeast Quadrant Industrial,1998,45,0,0,0,0,0,0
West Grand,1998,46,748,25,0,0,0,1655
West Ridge/Peterson,1998,47,0,0,0,0,0,0
West Pullman Industrial Park Conservation Area,1998,50,0,0,0,0,0,0
26th/Kostner,1998,51,0,0,0,0,0,0
Pilsen Industrial Corridor,1998,53,0,0,0,0,0,0
Stony Island Avenue Commercial and Burnside Industrial Corridors,1998,54,0,0,0,0,0,0
43rd/Cottage Grove,1998,55,0,0,0,0,0,0
79th Street Corridor,1998,56,0,0,0,0,0,0
Jefferson Park Business District,1998,57,0,0,0,0,0,0
Portage Park,1998,58,0,0,0,0,0,0
Calumet Avenue/Cermak Road,1998,59,0,0,0,0,0,0
71st/Stony Island,1998,60,0,0,0,0,0,0
Bronzeville,1998,61,0,0,0,0,0,0
Roosevelt/Racine,1998,62,0,0,0,0,0,0
Northwest Industrial Corridor,1998,64,0,0,0,0,0,0
35th/Halsted,1999,1,38932,112631,0,0,0,232179
41st/King,1999,2,102225,96906,0,0,0,101493
43rd/Damen,1999,3,145826,9047,0,0,0,441035
49th Street/St. Lawrence Avenue,1999,4,137920,23376,0,0,0,135292
60th and Western,1999,5,285396,7352,0,0,0,278869
72nd and Cicero,1999,6,168872,538195,0,0,0,202051
73rd and Kedzie,1999,7,63242,0,0,0,0,151792
95th and Western,1999,9,214199,262130,0,0,0,1572229
126th and Torrence,1999,10,0,0,0,0,0,0
Addison Corridor North,1999,11,77332,8685,0,0,0,116297
Bloomingdale/Laramie,1999,12,0,0,0,0,0,426
Bryn Mawr/Broadway,1999,13,222406,1324067,308446,0,0,1124125
Central Loop,1999,14,40416457,90572348,0,-32500000,0,140679577
Chatham-Ridge,1999,15,1535686,756548,0,0,0,6135418
Chinatown Basin,1999,16,936753,1372338,0,0,0,1669346
Division-Hooker,1999,17,272550,14470,0,0,0,527437
Division/North Branch,1999,18,234330,307972,0,0,0,497782
Eastman/North Branch,1999,19,126058,9246,0,0,0,374574
Edgewater,1999,20,245158,7761,0,-308446,0,1041384
Englewood Mall,1999,21,464672,17207,0,0,0,1775124
Fullteron/Normandy,1999,22,530008,15478,0,0,0,1976821
Homan-Arthington,1999,24,138562,3409,0,0,0,135661
Homan/Grand Trunk,1999,25,244086,11550,0,0,0,788428
Howard-Paulina,1999,26,436980,11011,0,0,0,2468781
Irving/Cicero,1999,27,428179,315547,0,0,0,674387
Lincoln-Belmont-Ashland,1999,28,886166,905940,0,0,0,1887422
Michigan/Cermak,1999,29,209013,30329,0,366666,0,654080
Near North,1999,30,1441844,18543401,0,0,0,39620140
