labels,examples,where_at
“interest,"1437762, (137249), 1300513",2016_97
excess of revenues over expenditures .,"695306, 1749856, 2445162",2009_95
excess of revenues over expenditures and,,2004_31
expenditu. 2s,,1997_27
rent,"700001, 700001",2006_14
reimbursed revenue,"770500, 770500",2021_105
expenditures over revenues and,,2001_30
expenditures over revenues and other financing sources,(255226701),2008_14
expenditures/expenses: .,,2007_46
property taxes,"94519209, 10370985, 104890194",2006_14
property tax-,"661753, (149535), 512218",2011_146
property tax §,"530008, 478378",1999_22
property tax s,"256051, 249490",1997_20
financing uses over revenues —,"(10544401), 10544401",2014_106
financing uses:,,2014_127
fund baiance/net position:,,2012_30
"excess of revenues over expenditures ,","6088776, 3496747, 9585523",2007_86
fund bailance/net assets:,,2008_108
excess of revenues over expeditures,"2143551, (420773), 1722778",2012_45
revenue,,2001_88
econamic development projects,"16864, 16864",2006_41
economic deveiopment projects,"786292, 786292",2007_8
revenues:.,,2004_29
revenues: -,,2015_134
end of year :,"5298363, 939303, 6237666",2015_143
operating transfers in (note'2),"750000, 750000",2015_166
end of year —,"13903065, 1554217, 15457282",2016_13
revenues over expenditures and,,2006_14
revenues and other financing sources over expenditures,567954,2008_154
revenues and other financing sources over,,2001_13
excess of expenditures over revenues .,"(1669669), 346203, (1323466)",2014_166
excess of expenditures over revenues:,"(4006943), 1900302, (2106641)",2014_97
revenues and other financing,,2001_73
revenues and expenditures,195929,1997_39
revenue and other financing sources,,2001_88
excess of revenues of expenditures,"4984188, 3494129, 8478317",2021_88
surpius distribution (note 2),"(1349000), (1349000)",2012_65
fund bailance/net position:,,2016_131
principal retirement — -,"430000, (430000)",2014_86
interest s$,27136,1997_37
other financing sources- -,,2008_154
lnterest,"971, 971",2011_137
low income households. (q)(1,,2009_120
low income households. dw),,2008_154
other financial sources (uses),,1997_44
operating transfers out (note 2},"(761500), (761500)",2015_69
miscellaneous revenue (note 5),"9950798, 9950798",2020_37
miscelleneous revenue,"200, 200",2010_108
operating transfers out (note 2).,"(4276201), (4276201)",2016_89
operating transfers out (note 2) -,"(379339), (379339)",2009_76
