year,tif_number,revenue_interest,interest_other,property_tax,sales_tax,rent,miscellaneous,other,land,liquor,reimbursed,total_revenue,bond_issuance_costs,capital_projects,principle_retirement,expenditures_interest,economic_dev,total_expenditures,transfers_in,transfers_out,surplus,tax_liability,debt_plus_bond_refund,escrow_agent,sum_all_finance,begin_balance,end_balance,flags
1997,1,86936,0,1194,0,0,0,0,0,0,0,88130,0,34231,0,0,0,34231,1743618,0,0,0,0,0,1797517,0,1797517,Beginning of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual
1997,2,388,0,37572,0,0,0,0,0,0,0,37960,0,2250,0,0,0,2250,0,0,0,0,0,0,0,1669,38379,Revenues after expenditure checksum failed
1997,3,3405,0,98106,0,0,0,0,0,0,0,101511,0,3227,0,0,0,3227,0,0,0,0,0,0,0,60921,159205,
1997,8,40505,0,150646,0,0,0,0,0,0,0,191151,0,13754,0,0,0,13754,0,0,0,0,0,0,0,745780,923177,
1997,9,9883,0,154712,0,0,0,0,0,0,0,164595,0,9776,0,0,0,9776,0,0,0,0,0,0,0,204919,359738,
1997,13,36867,0,37570,0,0,0,0,0,0,0,74437,0,1051236,0,63420,0,1114656,1359557,0,0,0,1800000,0,2119338,0,0,Beginning of year balance has no value|End of year balance has no value|Revenues after expenditure checksum failed
1997,15,174027,0,686342,210303,0,0,0,0,0,0,1070672,0,146549,200000,417687,0,764236,0,0,0,0,0,0,0,3128480,3434916,
1997,17,0,0,650,0,0,0,0,0,0,0,656,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,"Beginning of year balance has no value|End of year balance has no value|Revenue checksum fails|field ""interest"" had no value attached|Checksum failed"
1997,19,3029,0,94562,0,0,0,0,0,0,0,97591,0,3110,0,0,0,3110,0,0,0,0,0,0,0,50704,145185,
1997,20,81083,0,256051,138118,0,0,0,0,0,0,475252,0,10612,0,0,0,10612,0,-1359557,0,0,0,0,-894917,1721529,0,End of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual
1997,22,64971,0,431983,0,0,0,0,0,0,0,496954,0,14203,0,0,0,14203,0,0,0,0,0,0,0,454583,937328,Revenues after expenditure checksum failed
1997,23,989,0,117224,0,0,0,0,0,0,0,118213,0,3854,0,0,0,3854,0,0,0,0,0,0,0,0,114359,Beginning of year balance has no value
1997,25,9380,0,166670,0,0,0,0,0,0,0,176050,0,5482,0,0,0,5482,0,0,0,0,0,0,0,196473,367042,
1997,26,55664,0,389121,0,0,0,0,0,0,0,444785,0,13210,0,0,0,13210,0,0,0,0,0,0,0,1100862,0,End of year balance has no value
1997,27,103,0,12301,0,0,0,0,0,0,0,12404,0,405,0,0,0,405,0,0,0,0,0,0,0,0,11999,Beginning of year balance has no value
1997,28,17406,0,766169,0,0,0,0,0,0,0,783575,0,94781,485000,0,0,579781,0,0,0,0,0,0,0,294621,498415,Number 579781 was not attached to a field|Total expenditures did not match. Guessing total by adding individual
1997,29,26247,0,173246,0,0,0,0,0,0,0,199493,0,65333,0,0,0,65333,0,0,0,0,0,0,0,440069,574229,
1997,32,127671,0,935440,0,0,0,0,0,0,0,1063111,0,1097160,0,0,0,1097160,0,0,0,0,0,0,0,2353667,2319618,
1997,36,132652,0,957120,0,0,0,0,0,0,0,1089772,30225,40298,0,490863,0,561386,0,0,0,0,0,0,528386,2532647,3061033,"field ""debt_plus_bond_refund"" had no value attached|field ""transfers_out"" had no value attached|Sum of everything has no value|Total of other finances did not match anything. Guessing total by adding individual"
1997,37,27136,0,0,0,0,0,0,0,0,0,27136,0,1319995,0,0,0,1319995,24258006,0,0,0,0,0,23209374,0,0,Beginning of year balance has no value|End of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual|Revenues after expenditure checksum failed
1997,39,1865,0,200664,0,0,0,0,0,0,0,202529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Expenditure checksum fails|Cannot complete expenditures object
1997,40,24188,0,141659,0,0,0,0,0,0,0,165847,0,73758,0,0,0,73758,0,0,0,0,0,0,0,399522,491611,
1997,41,112099,0,356739,365791,0,0,0,0,0,0,834629,0,20364,100000,190007,0,310371,0,0,0,0,0,0,0,2447497,0,End of year balance has no value
1997,42,107890,0,685212,0,0,0,0,0,0,0,793102,249311,22816,20000,309178,0,601305,0,-5500000,0,0,5530000,0,221797,1391928,1613725,
1997,43,8333,0,209863,0,0,0,0,0,0,0,218196,0,15652,0,0,0,15652,525000,0,0,0,0,0,727544,0,727544,Beginning of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual
1997,44,289,0,2348743,0,0,0,0,0,0,0,2643023,0,521906,12700000,0,0,14124305,0,-1743617,0,0,14800009,0,1575101,5300356,6875457,"Other finances checksum failed|Revenue checksum fails|Expenditure checksum fails|Revenues after expenditure checksum failed|Checksum failed|field ""interest"" had no value attached|Checksum failed"
1997,45,861207,0,1657797,0,0,0,0,0,0,0,2519004,0,1744496,9900000,1186622,0,12831118,0,-525000,0,0,29000000,0,9162886,10686492,0,End of year balance has no value|Other finances checksum failed|Summing everything checksum failed
1997,46,0,0,909,0,0,0,0,0,0,0,918,0,30,0,0,0,30,0,0,0,0,0,0,0,0,888,"Beginning of year balance has no value|Revenue checksum fails|field ""interest"" had no value attached|Checksum failed"
1997,47,3942,0,259326,339059,0,0,0,0,0,0,602327,0,407722,0,0,0,407722,0,0,0,0,0,0,0,91189,285794,
1998,1,72659,0,29682,0,0,0,0,0,0,0,102341,0,1642690,0,0,0,1642690,0,0,0,0,0,0,-1540349,1797517,257168,"field ""transfers_in"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual"
1998,2,2155,0,94884,0,0,0,0,0,0,0,96039,0,39241,0,0,0,39241,0,0,0,0,0,0,0,38379,95177,Revenue checksum fails|Checksum failed
1998,3,7673,0,139057,0,0,0,0,0,0,0,146730,0,10537,0,0,0,10537,0,0,0,0,0,0,0,159205,295398,
1998,4,260,0,16984,0,0,0,0,0,0,0,17244,0,577,0,0,0,577,0,0,0,0,0,0,0,3254,19921,
1998,8,41302,0,161159,0,0,0,0,0,0,0,202461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Expenditure checksum fails|Cannot complete expenditures object
1998,9,83798,0,234671,0,0,0,0,0,0,0,318469,0,1516980,20000,164990,0,1701970,0,0,0,0,2600000,0,1216499,359738,0,End of year balance has no value|Summing everything checksum failed
1998,11,378,0,47228,0,0,0,0,0,0,0,47606,0,1599,0,0,0,1599,0,0,0,0,0,0,0,0,46007,Beginning of year balance has no value
1998,14,0,11467010,36846876,0,0,0,0,0,0,0,48313886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Expenditure checksum fails|Cannot complete expenditures object
1998,16,119525,0,1107102,0,0,0,0,0,0,0,1226627,0,303348,250000,392254,0,945602,0,0,0,0,0,0,0,1747120,145,
1998,19,7007,0,107324,0,0,0,0,0,0,0,114331,0,9498,0,0,0,9498,0,0,0,0,0,0,0,145185,250018,
1998,20,69482,0,240279,133002,0,0,0,0,0,0,442763,0,18076,0,0,0,18076,0,-297093,0,0,0,0,127594,826612,254206,Total of other finances did not match anything. Guessing total by adding individual
1998,25,16961,0,161094,0,0,0,0,0,0,0,178055,0,5453,0,0,0,5453,0,0,0,0,0,0,0,367041,539643,
1998,31,624978,0,5407984,0,0,0,0,0,0,0,6032962,0,3559322,0,2151139,0,5710461,0,0,0,0,0,0,0,11421764,11744265,
1998,37,947784,0,0,0,0,0,0,0,0,0,947784,0,8850692,0,0,0,8850692,10500000,0,0,0,0,0,2597092,23209374,25806466,Total of other finances did not match anything. Guessing total by adding individual
1998,39,9594,0,161643,0,0,0,0,0,0,0,171237,0,5472,0,0,0,5472,0,0,0,0,0,0,0,195929,0,End of year balance has no value
1998,41,119084,0,329862,344511,0,0,0,0,0,0,793457,0,25802,110000,179266,0,315068,0,0,0,0,0,0,0,2971755,3450144,
1998,46,44,0,748,0,0,0,0,0,0,0,792,0,25,0,0,0,25,0,0,0,0,0,0,0,888,1655,
1999,1,48710,0,38932,0,0,0,0,0,0,0,87642,0,112631,0,0,0,112631,0,0,0,0,0,0,0,257168,232179,
1999,2,997,0,102225,0,0,0,0,0,0,0,103222,0,96906,0,0,0,96906,0,0,0,0,0,0,0,95177,101493,
1999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Could not find Expenditures header|Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Revenue checksum fails|Expenditure checksum fails|Cannot complete revenues object|Cannot complete expenditures object
1999,15,214956,0,1535686,930881,0,0,0,0,0,0,2681523,0,107423,275000,374125,0,756548,0,0,0,0,0,0,0,4210443,6135418,
1999,16,76786,0,936753,0,0,0,0,0,0,0,1013539,0,730852,270000,371486,0,1372338,0,0,0,0,0,0,0,2028145,1669346,
1999,19,7744,0,126058,0,0,0,0,0,0,0,133802,0,9246,0,0,0,9246,0,0,0,0,0,0,0,250018,374574,
1999,22,59255,0,530008,0,0,0,0,0,0,0,589263,0,15478,0,0,0,15478,0,0,0,0,0,0,0,1403036,1976821,
1999,24,508,0,138562,0,0,0,0,0,0,0,139070,0,3409,0,0,0,3409,0,0,0,0,0,0,0,0,135661,Beginning of year balance has no value
1999,25,16249,0,244086,0,0,0,0,0,0,0,260335,0,11550,0,0,0,11550,0,0,0,0,0,0,0,539643,788428,
1999,26,95868,0,436980,0,0,0,0,0,0,0,532848,0,11021,0,0,0,11021,0,0,0,0,0,0,0,1946944,2468781,Revenues after expenditure checksum failed
1999,27,33399,0,428179,0,0,0,0,0,0,0,461578,0,3516,0,312031,0,315547,0,0,0,0,0,0,146031,528356,674387,"field ""debt_plus_bond_refund"" had no value attached|Sum of everything has no value|Total of other finances did not match anything. Guessing total by adding individual|field ""miscellaneous"" had no value attached"
1999,28,78795,0,886166,0,0,0,0,0,0,0,964961,0,0,230000,675940,0,905940,0,0,0,0,0,0,59021,1828401,1887422,"field ""debt_plus_bond_refund"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual|field ""capital_projects"" had no value attached|field ""bond_issuance_costs"" had no value attached"
1999,29,43580,0,209013,0,0,0,0,0,0,0,252593,0,30329,0,0,0,30329,0,0,0,0,0,0,-144402,128482,654080,"field ""transfers_out"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual"
1999,30,1114480,0,1441844,0,0,0,0,0,0,0,2556324,1155140,16118840,0,1269421,0,18543401,0,0,0,0,25000000,0,39012923,0,0,Beginning of year balance has no value|End of year balance has no value|Other finances checksum failed|Summing all rev/exp/other checksum failed
1999,31,1320200,0,6984676,0,0,0,0,0,0,0,8304876,1080053,7430067,2615000,0,0,726476,183333,0,0,0,21866839,0,17558572,0,0,"field ""debt_plus_bond_refund"" had no value attached|Sum of everything has no value|Beginning of year balance has no value|End of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual|Expenditure checksum fails|Revenues after expenditure checksum failed|field ""interest"" had no value attached|Checksum failed"
1999,32,189429,0,2711387,0,0,0,0,0,0,0,2900816,0,138237,0,0,0,138237,0,0,0,0,0,0,0,3684038,6446617,
1999,33,21182,0,764525,0,0,0,0,0,0,0,767307,0,2049,0,0,0,2049,0,0,0,0,0,0,0,0,746816,Beginning of year balance has no value|Revenue checksum fails|Revenues after expenditure checksum failed|Checksum failed
1999,34,1708,0,432157,0,0,0,0,0,0,0,433865,0,11458,0,0,0,11458,0,0,0,0,0,0,0,0,422407,Beginning of year balance has no value
1999,36,170083,0,1793064,0,0,0,0,0,0,0,1963147,0,78695,160000,505688,0,744383,0,0,0,0,0,0,0,4156779,5375543,
1999,37,832646,0,874198,0,0,0,0,0,0,0,1706844,0,28286052,0,0,0,28286052,2500000,0,0,0,0,0,-24079208,25806466,1727258,Total of other finances did not match anything. Guessing total by adding individual
1999,38,484,0,132138,0,0,0,0,0,0,0,132622,0,3235,0,0,0,3235,0,0,0,0,0,0,0,0,129387,Beginning of year balance has no value
1999,39,9484,0,617325,0,0,0,0,0,0,0,626809,0,350182,0,0,0,350182,0,0,0,0,0,0,0,361694,638321,
1999,40,34455,0,469899,0,0,0,0,0,0,0,504354,0,63834,0,0,0,63834,0,0,0,0,0,0,0,10694,1051214,
1999,41,138559,0,317293,319739,0,0,0,0,0,0,775591,0,17527,120000,167605,0,305132,0,0,0,0,0,0,0,3450144,3920603,
1999,43,30187,0,568188,0,0,0,0,0,0,0,598375,0,41462,0,0,0,41462,0,0,0,0,0,0,0,890831,2447744,
1999,45,589034,0,1820165,0,0,0,0,0,0,0,2409199,0,4067960,500000,1255143,0,5823103,0,0,0,0,0,0,0,290382056,16968152,
1999,47,23229,0,285487,212903,0,0,0,0,0,0,531619,0,98,0,0,0,98,0,0,0,0,0,0,0,802239,18460,Revenue checksum fails|Revenues after expenditure checksum failed|Checksum failed
1999,48,1739,0,492737,0,0,0,0,0,0,0,494476,0,31435,0,0,0,31435,0,0,0,0,0,0,0,0,483041,Beginning of year balance has no value|Revenues after expenditure checksum failed
1999,52,11023,0,2825205,0,0,0,0,0,0,0,2836228,0,73534,0,0,0,73534,0,0,0,0,0,0,0,0,2762694,Beginning of year balance has no value
1999,54,1330,0,290646,0,0,0,0,0,0,0,291976,0,8089,0,0,0,8089,0,0,0,0,0,0,0,0,283887,Beginning of year balance has no value
1999,59,97,0,16416,0,0,0,0,0,0,0,16513,0,480,0,0,0,480,183333,0,0,0,0,0,199366,0,199366,Beginning of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual
1999,61,553,0,0,0,0,0,0,0,0,0,553,0,350000,0,0,0,350000,0,0,0,0,0,0,0,0,0,"field ""debt_plus_bond_refund"" had no value attached|Sum of everything has no value|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Total of other finances did not match anything. Guessing total by adding individual|Summing all rev/exp/other checksum failed"
1999,65,902,0,0,0,0,0,0,0,0,0,902,0,650000,0,0,0,650000,0,0,0,0,0,0,0,0,0,"field ""debt_plus_bond_refund"" had no value attached|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Total of other finances did not match anything. Guessing total by adding individual"
1999,66,348,0,105340,0,0,0,0,0,0,0,105688,0,2377,0,0,0,2377,0,0,0,0,0,0,0,0,103311,Beginning of year balance has no value
2000,1,23854,0,545489,0,0,0,0,0,0,0,569343,0,82470,0,0,0,82470,0,0,0,0,0,0,0,232179,719052,
2000,2,3063,0,98337,0,0,0,0,0,0,0,101400,0,103293,0,0,0,103293,0,0,0,0,0,0,0,101493,899600,
2000,3,21519,0,216096,0,0,0,0,0,0,0,237615,0,9859,0,0,0,9859,0,0,0,0,0,0,0,441035,668791,
2000,4,3220,0,172300,0,0,0,0,0,0,0,175520,0,171595,0,0,0,171595,0,0,0,0,0,0,0,135292,139217,
2000,5,12451,0,290174,0,0,0,0,0,0,0,302625,0,11830,0,0,0,11830,0,0,0,0,0,0,0,278869,569664,
2000,6,9146,0,188549,0,0,0,0,0,0,0,197695,0,9130,0,0,0,9130,0,0,0,0,0,0,0,202051,390616,
2000,7,7864,0,139131,0,0,0,0,0,0,0,146992,0,7090,0,0,0,7090,0,0,0,0,0,0,0,151792,291694,Revenue checksum fails|Checksum failed
2000,8,28114,0,150654,0,0,0,0,0,0,0,178768,0,461250,0,0,0,461250,0,0,0,0,0,0,0,926594,0,End of year balance has no value|Revenues after expenditure checksum failed
2000,9,49702,0,377038,0,0,0,0,0,0,0,426740,0,60686,90000,216091,0,366777,0,0,0,0,0,0,0,1572229,0,End of year balance has no value
2000,11,4960,0,135681,0,0,0,0,0,0,0,140641,0,6982,0,0,0,6982,0,0,0,0,0,0,0,116297,249956,
2000,13,62511,0,231301,0,0,0,0,0,0,0,293812,0,482024,75000,136080,0,693104,245483,0,0,0,0,0,153809,1124125,970316,Total of other finances did not match anything. Guessing total by adding individual|Revenues after expenditure checksum failed
2000,14,0,0,0,0,0,0,0,0,0,0,53012128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Revenue checksum fails|Expenditure checksum fails|field ""property_tax"" had no value attached|field ""interest_other"" had no value attached|Checksum failed|Cannot complete expenditures object"
2000,17,8269,0,271773,0,0,0,0,0,0,0,280042,0,525878,0,0,0,525878,0,0,0,0,0,0,0,527437,281601,
2000,18,31270,0,234090,0,0,0,1459,0,0,0,266819,0,23859,115000,177188,0,316047,0,0,0,0,0,0,0,497782,448554,Revenues after expenditure checksum failed
2000,19,13226,0,129323,0,0,0,0,0,0,0,142549,0,8238,0,0,0,8238,0,0,0,0,0,0,0,374574,0,End of year balance has no value
2000,20,68516,0,244837,0,0,0,0,0,0,0,313353,0,11368,0,0,0,11368,0,-245483,0,0,0,0,56502,1041384,1097886,"Total of other finances did not match anything. Guessing total by adding individual|field ""sales_tax"" had no value attached"
2000,21,100300,0,455724,0,0,0,0,0,0,0,556024,0,18350,0,0,0,18350,0,0,0,0,0,0,0,1775124,0,End of year balance has no value
2000,22,101035,0,501267,0,0,0,0,0,0,0,602302,0,16270,0,0,0,16270,0,0,0,0,0,0,0,1976821,2562853,
2000,24,7338,0,151951,0,0,0,0,0,0,0,159289,0,8670,0,0,0,8670,0,0,0,0,0,0,0,135661,286280,
2000,25,15078,0,227588,0,0,0,0,0,0,0,242666,0,384556,0,0,0,384556,0,0,0,0,0,0,0,788428,646538,
2000,26,143858,0,464636,0,0,0,0,0,0,0,608494,0,16933,0,0,0,16933,0,0,0,0,0,0,0,2468781,3060242,
2000,27,141093,0,344337,0,0,0,0,0,0,0,485430,0,17875,55000,312900,0,385775,0,0,0,0,0,0,0,674387,774042,
2000,28,122070,0,863604,0,0,0,0,0,0,0,985674,0,0,235000,525156,0,760156,0,0,0,0,0,0,0,1887422,2112940,
2000,29,45727,0,154108,0,0,0,0,0,0,0,199835,0,188931,0,0,0,188931,0,0,0,0,0,0,10904,654080,664984,"field ""transfers_out"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual"
2000,30,1564721,0,2353250,0,0,0,0,0,0,0,3917971,0,24095692,0,3731050,0,27826742,0,0,0,0,0,0,-23908771,39620140,15711369,"field ""debt_plus_bond_refund"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual|Revenues after expenditure checksum failed|field ""bond_issuance_costs"" had no value attached"
2000,31,1439273,0,8809910,0,0,0,0,0,0,0,10249183,0,12281142,2245000,2238550,0,16764692,0,0,0,0,0,0,2055000,29302837,24842328,"Total of other finances did not match anything. Guessing total by adding individual|Revenues after expenditure checksum failed|field ""bond_issuance_costs"" had no value attached"
2000,32,926966,0,3108482,0,0,0,0,0,0,0,4035448,596626,135131,700000,324188,0,1755945,0,0,0,0,11871950,0,14151453,6446617,20598070,Total of other finances did not match anything. Guessing total by adding individual
2000,33,37559,0,1225572,0,0,0,0,0,0,0,1263131,0,32880,0,0,0,32880,0,0,0,0,0,0,0,746816,1977067,
2000,34,21778,0,692502,0,0,0,0,0,0,0,714280,0,19703,0,0,0,19703,0,0,0,0,0,0,0,422407,1116984,
2000,36,241619,0,1730511,0,0,0,0,0,0,0,1972130,0,56435,165000,494088,0,715523,0,0,0,0,0,0,0,5375543,6632150,
2000,37,263662,0,1805844,0,0,0,0,0,0,0,2069506,0,215748,0,0,0,215748,0,0,0,0,0,0,1853758,1727258,3581016,"field ""transfers_in"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual"
2000,38,7490,0,376040,0,0,0,0,0,0,0,383530,0,14997,0,0,0,14997,0,0,0,0,0,0,0,129387,497920,
2000,39,16686,0,998425,0,0,0,0,0,0,0,1015171,0,637909,0,0,0,637909,0,0,0,0,0,0,0,638321,1015523,Revenue checksum fails|Revenues after expenditure checksum failed|Checksum failed
2000,41,75479,0,277570,304979,0,0,0,0,0,0,658028,0,20137,135000,155003,0,310140,0,0,0,0,0,0,0,3920603,0,End of year balance has no value
2000,42,90311,0,826227,0,0,0,0,0,0,0,916538,0,50931,80000,413947,0,544878,0,0,0,0,0,0,0,1710825,2082485,
2000,43,55058,0,800838,0,0,0,0,0,0,0,855896,0,77105,0,0,0,77105,0,0,0,0,0,0,0,1447744,0,End of year balance has no value
2000,45,644465,0,1807287,0,0,0,0,0,0,0,2451752,0,104002,600000,1172841,0,1876843,0,0,0,0,0,0,0,16968152,17543061,
2000,46,3033,0,75893,0,0,0,0,0,0,0,78926,0,3297,0,0,0,3297,0,0,0,0,0,0,0,74657,180286,
2000,47,82024,0,126972,0,0,0,0,0,0,0,208996,0,6920,0,0,0,6920,0,0,0,0,0,0,0,1318460,1520536,"field ""sales_tax"" had no value attached"
2000,52,118215,0,4192564,0,0,0,0,0,0,0,4310779,0,1202765,0,0,0,1202765,0,0,0,0,0,0,0,2762694,5870708,
2000,53,32358,0,1029211,0,0,0,0,0,0,0,1061569,0,87597,0,0,0,87597,0,0,0,0,0,0,0,588656,1562628,
2000,54,15422,0,468531,0,0,0,0,0,0,0,483953,0,14129,0,0,0,14129,0,0,0,0,0,0,0,283887,753714,
2000,55,3630,0,79460,0,0,0,0,0,0,0,83090,0,2862,0,0,0,2862,0,0,0,0,0,0,0,64844,145072,
